vehicle,time,lat[D.DDD],lon[D.DDD]
veh_1,12:17:19.47,35.7167809,-120.7645652
veh_1,12:17:19.47,35.7167808,-120.7645652
veh_1,12:17:19.73,35.7167811,-120.7645648
veh_1,12:17:20.10,35.7167812,-120.7645652
veh_1,12:17:20.38,35.7167813,-120.7645647
veh_1,12:17:20.65,35.7167813,-120.7645646
veh_1,12:17:22.58,35.7167807,-120.7645651
veh_1,12:17:23.36,35.7167808,-120.7645652
veh_1,12:17:24.11,35.7167803,-120.7645653
veh_1,12:17:24.95,35.7167806,-120.7645658
veh_1,12:17:25.92,35.7167798,-120.7645659
veh_1,12:17:26.60,35.7167799,-120.7645658
veh_1,12:17:27.26,35.7167796,-120.7645656
veh_1,12:17:28.00,35.7167793,-120.7645656
veh_1,12:17:29.27,35.716779,-120.7645653
veh_1,12:17:30.03,35.7167787,-120.7645649
veh_1,12:17:30.85,35.7167786,-120.7645655
veh_1,12:17:32.40,35.7167783,-120.7645656
veh_1,12:17:34.11,35.7167775,-120.7645664
veh_1,12:17:35.63,35.7167779,-120.7645666
veh_1,12:17:36.91,35.7167779,-120.7645662
veh_1,12:17:38.41,35.7167777,-120.7645657
veh_1,12:17:39.45,35.7167778,-120.7645659
veh_1,12:17:40.79,35.7167784,-120.7645655
veh_1,12:17:43.22,35.7167771,-120.7645658
veh_1,12:17:44.35,35.716777,-120.7645657
veh_1,12:17:45.68,35.7167767,-120.7645659
veh_1,12:17:46.73,35.7167769,-120.7645663
veh_1,12:17:47.94,35.7167763,-120.7645658
veh_1,12:17:49.15,35.716776,-120.7645651
veh_1,12:17:53.95,35.7167768,-120.764566
veh_1,12:17:55.13,35.7167773,-120.764567
veh_1,12:17:56.34,35.7167773,-120.7645673
veh_1,12:17:57.66,35.7167764,-120.7645673
veh_1,12:17:58.75,35.7167766,-120.764568
veh_1,12:17:59.95,35.7167762,-120.7645682
veh_1,12:18:01.15,35.7167762,-120.7645682
veh_1,12:18:02.34,35.7167761,-120.7645687
veh_1,12:18:04.79,35.7167756,-120.7645681
veh_1,12:18:06.00,35.7167754,-120.7645677
veh_1,12:18:07.14,35.7167754,-120.7645677
veh_1,12:18:08.35,35.7167747,-120.7645675
veh_1,12:18:09.56,35.7167743,-120.7645671
veh_1,12:18:10.82,35.7167747,-120.7645678
veh_1,12:18:12.05,35.7167747,-120.7645677
veh_1,12:18:13.16,35.7167746,-120.7645679
veh_1,12:18:14.36,35.7167743,-120.7645679
veh_1,12:18:15.60,35.7167745,-120.7645673
veh_1,12:18:16.76,35.7167745,-120.7645671
veh_1,12:18:17.85,35.7167748,-120.7645675
veh_1,12:18:18.95,35.7167752,-120.7645676
veh_1,12:18:20.08,35.7167749,-120.7645671
veh_1,12:18:21.24,35.7167752,-120.7645674
veh_1,12:18:22.34,35.7167752,-120.7645678
veh_1,12:18:23.33,35.7167757,-120.7645674
veh_1,12:18:24.42,35.7167754,-120.7645672
veh_1,12:18:25.52,35.7167758,-120.7645668
veh_1,12:18:27.62,35.7167764,-120.7645673
veh_1,12:18:29.61,35.7167761,-120.7645681
veh_1,12:18:30.55,35.7167762,-120.7645677
veh_1,12:18:31.30,35.7167762,-120.7645685
veh_1,12:18:32.17,35.716776,-120.7645686
veh_1,12:18:33.04,35.7167762,-120.7645676
veh_1,12:18:33.93,35.7167759,-120.7645677
veh_1,12:18:34.84,35.7167759,-120.7645679
veh_1,12:18:35.56,35.7167757,-120.7645682
veh_1,12:18:36.33,35.7167759,-120.7645685
veh_1,12:18:37.20,35.7167759,-120.7645685
veh_1,12:18:38.92,35.7167765,-120.7645684
veh_1,12:18:40.47,35.7167759,-120.7645685
veh_1,12:18:41.34,35.716776,-120.7645685
veh_1,12:18:42.10,35.7167755,-120.7645689
veh_1,12:18:42.92,35.716776,-120.7645691
veh_1,12:18:43.67,35.7167762,-120.7645694
veh_1,12:18:44.53,35.7167765,-120.7645693
veh_1,12:18:45.31,35.7167773,-120.7645689
veh_1,12:18:46.11,35.716777,-120.764569
veh_1,12:18:47.02,35.716777,-120.7645684
veh_1,12:18:47.75,35.7167768,-120.764568
veh_1,12:18:48.41,35.7167763,-120.7645677
veh_1,12:18:49.77,35.7167765,-120.7645672
veh_1,12:18:50.32,35.7167764,-120.7645678
veh_1,12:18:50.98,35.7167764,-120.7645676
veh_1,12:18:51.71,35.7167758,-120.7645674
veh_1,12:18:52.09,35.716775,-120.764567
veh_1,12:18:52.58,35.7167745,-120.7645671
veh_1,12:18:53.02,35.716774,-120.764567
veh_1,12:18:53.58,35.7167741,-120.7645674
veh_1,12:18:54.02,35.7167742,-120.7645678
veh_1,12:18:54.45,35.7167741,-120.7645675
veh_1,12:18:55.04,35.7167741,-120.7645676
veh_1,12:18:55.98,35.7167742,-120.764568
veh_1,12:18:56.47,35.7167742,-120.7645681
veh_1,12:18:57.31,35.7167748,-120.7645676
veh_1,12:18:57.56,35.7167747,-120.7645677
veh_1,12:18:58.17,35.7167746,-120.7645678
veh_1,12:18:58.91,35.7167745,-120.7645679
veh_1,12:18:59.29,35.7167745,-120.764568
veh_1,12:18:59.54,35.7167745,-120.7645677
veh_1,12:18:59.87,35.7167744,-120.7645676
veh_1,12:19:00.41,35.7167745,-120.7645679
veh_1,12:19:00.82,35.7167747,-120.7645677
veh_1,12:19:01.10,35.716775,-120.7645677
veh_1,12:19:01.43,35.7167748,-120.7645672
veh_1,12:19:01.66,35.7167746,-120.7645671
veh_1,12:19:01.95,35.7167744,-120.7645672
veh_1,12:19:02.19,35.7167745,-120.7645672
veh_1,12:19:02.53,35.7167746,-120.7645674
veh_1,12:19:02.79,35.7167745,-120.7645677
veh_1,12:19:03.12,35.7167743,-120.7645678
veh_1,12:19:03.45,35.7167744,-120.7645679
veh_1,12:19:03.70,35.7167742,-120.7645682
veh_1,12:19:04.38,35.7167742,-120.7645693
veh_1,12:19:05.02,35.7167743,-120.764569
veh_1,12:19:05.26,35.7167743,-120.7645691
veh_1,12:19:05.61,35.7167743,-120.7645695
veh_1,12:19:05.89,35.7167742,-120.7645696
veh_1,12:19:06.19,35.7167743,-120.7645695
veh_1,12:19:06.51,35.7167741,-120.7645696
veh_1,12:19:06.74,35.716774,-120.7645693
veh_1,12:19:07.17,35.7167742,-120.7645693
veh_1,12:19:07.42,35.7167742,-120.7645695
veh_1,12:19:07.68,35.7167741,-120.7645698
veh_1,12:19:08.28,35.716774,-120.7645699
veh_1,12:19:08.94,35.7167741,-120.7645696
veh_1,12:19:09.20,35.7167742,-120.7645698
veh_1,12:19:09.53,35.7167742,-120.7645698
veh_1,12:19:10.15,35.7167744,-120.7645698
veh_1,12:19:10.48,35.7167744,-120.7645691
veh_1,12:19:11.10,35.7167746,-120.7645691
veh_1,12:19:11.35,35.7167748,-120.7645694
veh_1,12:19:11.71,35.7167749,-120.7645695
veh_1,12:19:12.09,35.716775,-120.7645697
veh_1,12:19:12.41,35.716775,-120.7645694
veh_1,12:19:12.69,35.716775,-120.7645693
veh_1,12:19:13.04,35.7167752,-120.7645693
veh_1,12:19:13.53,35.7167749,-120.7645695
veh_1,12:19:13.94,35.7167745,-120.7645695
veh_1,12:19:14.33,35.7167745,-120.7645694
veh_1,12:19:14.70,35.7167744,-120.7645693
veh_1,12:19:15.14,35.7167749,-120.7645689
veh_1,12:19:15.43,35.7167749,-120.7645684
veh_1,12:19:15.87,35.7167749,-120.7645686
veh_1,12:19:16.18,35.7167752,-120.7645686
veh_1,12:19:16.61,35.7167753,-120.7645687
veh_1,12:19:17.26,35.7167749,-120.7645684
veh_1,12:19:17.64,35.7167748,-120.7645686
veh_1,12:19:17.92,35.7167742,-120.7645683
veh_1,12:19:18.54,35.7167742,-120.7645683
veh_1,12:19:18.79,35.7167743,-120.7645684
veh_1,12:19:19.17,35.7167746,-120.7645684
veh_1,12:19:19.42,35.7167745,-120.7645683
veh_1,12:19:19.83,35.7167743,-120.7645685
veh_1,12:19:20.48,35.7167747,-120.7645686
veh_1,12:19:21.21,35.716774,-120.7645685
veh_1,12:19:21.67,35.7167741,-120.7645692
veh_1,12:19:22.01,35.7167744,-120.7645691
veh_1,12:19:22.29,35.7167745,-120.7645689
veh_1,12:19:22.63,35.7167745,-120.7645689
veh_1,12:19:23.11,35.7167745,-120.7645688
veh_1,12:19:23.38,35.7167744,-120.7645689
veh_1,12:19:23.72,35.7167743,-120.7645689
veh_1,12:19:24.04,35.7167746,-120.7645688
veh_1,12:19:24.57,35.7167744,-120.7645688
veh_1,12:19:24.81,35.7167744,-120.7645691
veh_1,12:19:25.30,35.7167745,-120.7645693
veh_1,12:19:25.57,35.7167744,-120.7645693
veh_1,12:19:25.90,35.7167744,-120.7645692
veh_1,12:19:26.18,35.7167743,-120.7645692
veh_1,12:19:26.43,35.7167742,-120.7645689
veh_1,12:19:26.67,35.7167743,-120.7645691
veh_1,12:19:27.07,35.716774,-120.7645695
veh_1,12:19:27.66,35.7167739,-120.7645695
veh_1,12:19:27.98,35.7167738,-120.7645695
veh_1,12:19:28.36,35.7167739,-120.7645695
veh_1,12:19:28.62,35.7167738,-120.7645696
veh_1,12:19:28.96,35.7167736,-120.7645696
veh_1,12:19:29.24,35.7167738,-120.7645695
veh_1,12:19:29.49,35.7167737,-120.7645694
veh_1,12:19:29.74,35.7167736,-120.7645695
veh_1,12:19:30.17,35.7167735,-120.7645695
veh_1,12:19:30.51,35.7167737,-120.7645698
veh_1,12:19:30.83,35.7167741,-120.7645695
veh_1,12:19:31.18,35.7167739,-120.764569
veh_1,12:19:32.14,35.7167734,-120.7645682
veh_1,12:19:32.48,35.7167731,-120.764568
veh_1,12:19:32.74,35.716773,-120.7645677
veh_1,12:19:33.00,35.7167725,-120.7645673
veh_1,12:19:33.55,35.7167725,-120.7645673
veh_1,12:19:33.79,35.7167725,-120.7645672
veh_1,12:19:34.09,35.7167727,-120.764567
veh_1,12:19:34.53,35.7167725,-120.7645662
veh_1,12:19:34.87,35.7167722,-120.764566
veh_1,12:19:35.20,35.7167721,-120.7645658
veh_1,12:19:35.53,35.7167718,-120.7645654
veh_1,12:19:35.96,35.7167718,-120.7645655
veh_1,12:19:36.62,35.7167717,-120.7645657
veh_1,12:19:36.88,35.7167718,-120.7645655
veh_1,12:19:37.16,35.7167718,-120.7645653
veh_1,12:19:37.50,35.7167718,-120.7645654
veh_1,12:19:37.77,35.7167717,-120.7645652
veh_1,12:19:38.01,35.7167722,-120.7645653
veh_1,12:19:38.37,35.7167724,-120.764565
veh_1,12:19:38.71,35.7167727,-120.7645649
veh_1,12:19:39.08,35.7167729,-120.7645647
veh_1,12:19:39.69,35.7167733,-120.7645647
veh_1,12:19:39.96,35.7167733,-120.7645646
veh_1,12:19:40.24,35.7167732,-120.7645646
veh_1,12:19:40.50,35.7167732,-120.7645646
veh_1,12:19:40.84,35.7167734,-120.7645646
veh_1,12:19:41.09,35.7167736,-120.7645649
veh_1,12:19:41.38,35.7167739,-120.7645647
veh_1,12:19:41.97,35.716774,-120.7645647
veh_1,12:19:42.26,35.716774,-120.7645644
veh_1,12:19:42.60,35.7167738,-120.7645642
veh_1,12:19:43.22,35.7167735,-120.764564
veh_1,12:19:43.67,35.7167733,-120.7645641
veh_1,12:19:43.95,35.7167732,-120.7645642
veh_1,12:19:44.55,35.7167729,-120.7645638
veh_1,12:19:45.05,35.7167729,-120.7645636
veh_1,12:19:45.42,35.7167729,-120.7645635
veh_1,12:19:45.65,35.7167726,-120.7645633
veh_1,12:19:45.92,35.7167729,-120.7645633
veh_1,12:19:46.64,35.7167729,-120.7645627
veh_1,12:19:47.01,35.7167729,-120.7645628
veh_1,12:19:47.45,35.7167732,-120.7645626
veh_1,12:19:47.77,35.7167733,-120.7645627
veh_1,12:19:48.22,35.7167731,-120.7645627
veh_1,12:19:48.50,35.7167731,-120.7645629
veh_1,12:19:48.75,35.7167727,-120.7645625
veh_1,12:19:49.01,35.7167729,-120.7645628
veh_1,12:19:49.35,35.7167729,-120.7645626
veh_1,12:19:49.69,35.716773,-120.764563
veh_1,12:19:50.07,35.7167729,-120.7645626
veh_1,12:19:50.35,35.7167727,-120.7645624
veh_1,12:19:50.68,35.7167726,-120.7645625
veh_1,12:19:51.03,35.7167727,-120.7645624
veh_1,12:19:51.31,35.7167729,-120.764562
veh_1,12:19:51.59,35.7167729,-120.7645619
veh_1,12:19:51.97,35.716773,-120.7645617
veh_1,12:19:52.23,35.716773,-120.7645613
veh_1,12:19:52.66,35.716773,-120.764561
veh_1,12:19:52.91,35.7167732,-120.7645612
veh_1,12:19:53.25,35.7167732,-120.7645611
veh_1,12:19:53.53,35.7167733,-120.7645613
veh_1,12:19:53.79,35.7167733,-120.7645612
veh_1,12:19:54.17,35.7167733,-120.7645614
veh_1,12:19:54.44,35.7167731,-120.7645611
veh_1,12:19:54.78,35.7167732,-120.7645611
veh_1,12:19:55.11,35.7167734,-120.764561
veh_1,12:19:55.49,35.7167743,-120.764561
veh_1,12:19:55.74,35.7167754,-120.7645609
veh_1,12:19:56.11,35.7167766,-120.7645612
veh_1,12:19:56.36,35.716777,-120.764561
veh_1,12:19:56.62,35.7167763,-120.7645634
veh_1,12:19:56.97,35.716776,-120.7645648
veh_1,12:19:57.26,35.7167754,-120.764566
veh_1,12:19:57.52,35.7167751,-120.7645667
veh_1,12:19:57.79,35.7167751,-120.7645675
veh_1,12:19:58.25,35.7167752,-120.7645682
veh_1,12:19:58.50,35.7167756,-120.7645682
veh_1,12:19:58.97,35.7167759,-120.7645682
veh_1,12:19:59.66,35.7167767,-120.7645687
veh_1,12:20:00.13,35.7167767,-120.7645687
veh_1,12:20:00.41,35.7167769,-120.7645692
veh_1,12:20:00.75,35.716777,-120.7645695
veh_1,12:20:01.13,35.716777,-120.7645698
veh_1,12:20:01.39,35.716777,-120.76457
veh_1,12:20:01.82,35.7167769,-120.76457
veh_1,12:20:02.16,35.7167773,-120.7645701
veh_1,12:20:02.41,35.7167772,-120.7645705
veh_1,12:20:02.91,35.7167772,-120.7645707
veh_1,12:20:03.14,35.7167771,-120.7645704
