#*****************************************************************************************************,,,,,,,,,,,,,
# eastern_airports.csv,,,,,,,,,,,,,
# This file contains information about approximately 2400 airports in the Eastern hemisphere.  ,,,,,,,,,,,,,
# The data for each airport includes the following fields:,,,,,,,,,,,,,
# Field 01 - ICAO Code: 4 character ICAO code ,,,,,,,,,,,,,
# Field 02 - IATA Code: 3 character IATA code ,,,,,,,,,,,,,
# Field 03 - Airport Name: string of varying length ,,,,,,,,,,,,,
# Field 04 - City,Town or Suburb: string of varying length ,,,,,,,,,,,,
# Field 05 - Country: string of varying length ,,,,,,,,,,,,,
# Field 06 - Latitude Degrees: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 07 - Latitude Minutes: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 08 - Latitude Seconds: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 09 - Latitude Direction: 1 ASCII character either N or S representing compass direction ,,,,,,,,,,,,,
# Field 10 - Longitude Degrees: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 11 - Longitude Minutes: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 12 - Longitude Seconds: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 13 - Longitude Direction: 1 ASCII character either E or W representing compass direction ,,,,,,,,,,,,,
# Field 14 - Altitude: varying sequence of ASCII characters representing a numeric value corresponding ,,,,,,,,,,,,,
#            to the airport's altitude from mean sea level (ie: ``123'' or ``-123'') ,,,,,,,,,,,,,
#*****************************************************************************************************,,,,,,,,,,,,,
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,6,4,54,S,145,23,30,E,5282
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,5,12,25,S,145,47,19,E,20
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,5,49,34,S,144,17,46,E,5388
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,6,34,11,S,146,43,34,E,239
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,9,26,36,S,147,13,12,E,146
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,3,35,1,S,143,40,9,E,19
DAAB,N/A,BLIDA,BLIDA,ALGERIA,36,30,13,N,2,48,51,E,535
DAAD,N/A,BOU SAADA,BOU SAADA,ALGERIA,35,19,57,N,4,12,23,E,1506
DAAE,BJA,SOUMMAM,BEJAJA,ALGERIA,36,42,43,N,5,4,11,E,20
DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36,41,27,N,3,12,55,E,82
DAAJ,DJG,TISKA,DJANET,ALGERIA,24,17,33,N,9,27,8,E,3176
DAAK,N/A,BOUFARIK,BOUFARIK,ALGERIA,36,32,45,N,2,52,34,E,335
DAAM,N/A,TELERGHMA,TELERGMA,ALGERIA,36,6,31,N,6,21,52,E,2484
DAAN,N/A,REGGANE,REGGAN,ALGERIA,26,42,36,N,0,17,8,E,955
DAAP,VVZ,ILLIZI,ILLIZI,ALGERIA,26,34,24,N,8,29,1,E,1778
DAAQ,N/A,AIN OUSSERA,AIN OUSSERA,ALGERIA,35,31,31,N,2,52,43,E,2132
DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,36,10,41,N,5,19,28,E,3360
DAAT,TMR,TAMANRASSET,TAMANRASSET,ALGERIA,22,48,39,N,5,27,3,E,4518
DAAV,GJL,JIJEL,JIJEL,ALGERIA,36,47,42,N,5,52,24,E,33
DAAZ,N/A,RELIZANE,RELIZANE,ALGERIA,35,45,8,N,0,37,34,E,282
DABB,AAE,ANNABA,ANNABA,ALGERIA,36,49,20,N,7,48,33,E,16
DABC,CZL,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36,16,36,N,6,37,26,E,2265
